,alcohol,fixedacidity,pH,volatileacidity,freesulfurdioxide,totalsulfurdioxide,residualsugar,type,cat
123,9.5,8.0,3.44,0.71,11.0,34.0,2.6,1,1
124,9.5,7.8,3.39,0.5,21.0,102.0,1.6,1,1
125,9.4,9.0,3.16,0.62,27.0,90.0,1.9,1,1
126,10.9,8.2,3.53,1.33,3.0,12.0,1.7,1,1
127,10.9,8.1,3.54,1.33,3.0,12.0,1.8,1,1
128,10.5,8.0,3.42,0.59,3.0,16.0,1.8,1,2
129,9.4,6.1,3.42,0.38,6.0,19.0,1.8,1,1
130,9.4,8.0,3.24,0.745,30.0,134.0,2.0,1,1
131,13.0,5.6,3.63,0.5,17.0,99.0,2.3,1,1
132,13.0,5.6,3.63,0.5,17.0,99.0,2.3,1,1
133,9.8,6.6,3.4,0.5,17.0,26.0,1.5,1,1
134,9.9,7.9,3.22,1.04,13.0,29.0,2.2,1,1
135,9.6,8.4,3.19,0.745,16.0,63.0,1.9,1,1
136,9.5,8.3,3.23,0.715,10.0,52.0,1.8,1,1
137,9.2,7.2,3.48,0.415,13.0,45.0,2.0,1,1
138,9.5,7.8,3.33,0.56,15.0,105.0,2.1,1,1
139,9.5,7.8,3.32,0.56,17.0,108.0,2.0,1,1
140,9.6,8.4,3.19,0.745,16.0,63.0,1.9,1,1
141,9.5,8.3,3.23,0.715,10.0,52.0,1.8,1,1
142,14.0,5.2,3.68,0.34,27.0,63.0,1.8,1,1
143,9.4,6.3,3.34,0.39,3.0,20.0,1.7,1,1
144,14.0,5.2,3.68,0.34,27.0,63.0,1.8,1,1
145,9.4,8.1,3.17,0.67,32.0,141.0,1.8,1,1
146,10.0,5.8,3.54,0.68,21.0,94.0,1.8,1,1
147,9.3,7.6,3.11,0.49,10.0,88.0,1.6,1,1
148,10.2,6.9,3.42,0.49,12.0,30.0,2.3,1,1
149,10.5,8.2,3.53,0.4,11.0,43.0,2.8,1,1
150,10.3,7.3,3.33,0.33,5.0,11.0,2.1,1,1
151,9.4,9.2,2.74,0.52,32.0,69.0,3.4,1,0
152,10.1,7.5,3.35,0.6,25.0,99.0,1.8,1,1
153,10.1,7.5,3.35,0.6,25.0,99.0,1.8,1,1
154,10.5,7.1,3.42,0.43,29.0,129.0,5.5,1,1
155,10.5,7.1,3.42,0.43,28.0,128.0,5.5,1,1
156,10.5,7.1,3.42,0.43,29.0,129.0,5.5,1,1
157,10.5,7.1,3.42,0.43,28.0,128.0,5.5,1,1
158,9.3,7.1,3.48,0.68,12.0,22.0,2.2,1,1
159,9.3,6.8,3.59,0.6,18.0,86.0,1.9,1,1
160,9.6,7.6,3.2,0.95,7.0,20.0,2.0,1,1
161,9.2,7.6,3.17,0.68,9.0,20.0,1.3,1,0
162,10.0,7.8,3.33,0.53,17.0,31.0,1.7,1,1
163,9.4,7.4,3.37,0.6,36.0,121.0,7.3,1,1
164,9.4,7.3,3.37,0.59,35.0,121.0,7.2,1,1
165,9.5,7.8,3.19,0.63,14.0,96.0,1.7,1,1
166,10.2,6.8,3.34,0.64,18.0,101.0,2.1,1,1
167,9.0,7.3,3.37,0.55,17.0,42.0,1.6,1,0
168,10.4,6.8,3.47,0.63,11.0,44.0,2.1,1,1
169,9.5,7.5,3.0,0.705,15.0,63.0,1.8,1,1
170,9.1,7.9,3.36,0.885,4.0,8.0,1.8,1,0
171,9.2,8.0,3.29,0.42,6.0,18.0,2.0,1,1
172,9.2,8.0,3.29,0.42,6.0,18.0,2.0,1,1
173,11.5,7.4,3.42,0.62,24.0,42.0,1.9,1,1
174,9.5,7.3,3.33,0.38,7.0,35.0,2.0,1,1
175,9.5,6.9,3.35,0.5,19.0,49.0,1.5,1,1
176,9.5,7.3,3.33,0.38,7.0,35.0,2.0,1,1
177,10.5,7.5,3.58,0.52,8.0,38.0,2.3,1,1
178,9.6,7.0,3.48,0.805,7.0,20.0,2.5,1,1
179,9.5,8.8,3.19,0.61,10.0,42.0,2.4,1,1
180,9.5,8.8,3.19,0.61,10.0,42.0,2.4,1,1
181,9.3,8.9,3.12,0.61,23.0,110.0,2.0,1,1
182,9.3,7.2,3.44,0.73,16.0,42.0,2.5,1,1
183,9.3,6.8,3.54,0.61,11.0,65.0,1.8,1,1
184,9.3,6.7,3.52,0.62,8.0,62.0,1.9,1,1
185,9.7,8.9,3.26,0.31,26.0,85.0,2.0,1,1
186,9.2,7.4,3.34,0.39,14.0,67.0,2.0,1,1
187,9.7,7.7,3.39,0.705,9.0,26.0,2.6,1,1
188,9.5,7.9,3.2,0.5,15.0,143.0,2.0,1,1
189,9.5,7.9,3.2,0.49,17.0,144.0,1.9,1,1
190,9.4,8.2,3.23,0.5,21.0,127.0,2.9,1,1
191,9.8,6.4,3.57,0.37,21.0,49.0,1.9,1,1
192,9.5,6.8,3.28,0.63,16.0,126.0,3.8,1,1
193,9.7,7.6,3.28,0.55,7.0,28.0,2.2,1,1
194,9.7,7.6,3.28,0.55,7.0,28.0,2.2,1,1
195,9.4,7.8,3.25,0.59,24.0,120.0,2.0,1,1
196,10.2,7.3,3.46,0.58,15.0,55.0,2.4,1,1
197,10.1,11.5,3.11,0.3,12.0,27.0,2.0,1,1
198,13.0,5.4,3.57,0.835,13.0,93.0,1.2,1,2
199,11.4,6.9,3.51,1.09,12.0,31.0,2.1,1,0
200,10.3,9.6,3.22,0.32,9.0,24.0,1.4,1,2
201,9.3,8.8,3.04,0.37,39.0,145.0,2.1,1,1
202,9.5,6.8,3.36,0.5,16.0,49.0,1.5,1,1
203,9.2,7.0,3.34,0.42,16.0,39.0,1.6,1,1
204,9.2,7.0,3.34,0.43,14.0,37.0,1.6,1,1
205,10.8,12.8,3.2,0.3,9.0,28.0,2.6,1,2
206,10.8,12.8,3.2,0.3,9.0,28.0,2.6,1,2
207,9.3,7.8,3.29,0.57,26.0,120.0,1.8,1,1
208,9.4,7.8,3.22,0.44,18.0,95.0,2.7,1,1
209,10.5,11.0,3.31,0.3,7.0,19.0,2.1,1,2
210,12.4,9.7,3.3,0.53,5.0,19.0,2.0,1,1
211,10.0,8.0,3.35,0.725,10.0,62.0,2.8,1,1
212,10.2,11.6,3.21,0.44,5.0,15.0,2.1,1,1
213,10.1,8.2,3.3,0.57,28.0,65.0,2.2,1,1
214,9.8,7.8,3.24,0.735,10.0,41.0,2.4,1,1
215,10.5,7.0,3.34,0.49,26.0,121.0,5.6,1,1
216,11.0,8.7,3.14,0.625,13.0,49.0,2.0,1,1
217,9.1,8.1,3.36,0.725,11.0,41.0,2.2,1,1
218,9.7,7.5,3.39,0.49,10.0,44.0,1.9,1,1
219,9.5,7.8,3.3,0.53,24.0,144.0,2.4,1,1
220,9.4,7.8,3.34,0.34,24.0,58.0,2.0,1,1
221,9.4,7.4,3.15,0.53,16.0,72.0,2.0,1,1
222,9.5,6.8,3.42,0.61,5.0,10.0,1.5,1,1
223,10.0,8.6,3.28,0.645,8.0,28.0,2.0,1,1
224,10.4,8.4,3.31,0.635,15.0,55.0,2.0,1,0
225,10.5,7.7,3.37,0.43,29.0,63.0,2.6,1,1
226,9.5,8.9,3.04,0.59,27.0,81.0,2.0,1,1
227,9.8,9.0,3.39,0.82,9.0,23.0,2.6,1,1
228,10.5,7.7,3.37,0.43,29.0,63.0,2.6,1,1
229,11.0,6.9,3.46,0.52,10.0,37.0,2.6,1,1
230,12.2,5.2,3.54,0.48,19.0,106.0,1.6,1,2
231,9.9,8.0,3.37,0.38,12.0,49.0,1.8,1,1
232,9.6,8.5,3.34,0.37,18.0,58.0,2.8,1,1
233,11.0,6.9,3.46,0.52,10.0,37.0,2.6,1,1
234,9.0,8.2,3.32,1.0,7.0,37.0,2.3,1,1
235,9.0,7.2,3.37,0.63,14.0,38.0,1.9,1,1
236,9.0,7.2,3.37,0.63,14.0,38.0,1.9,1,1
237,9.2,7.2,3.37,0.645,15.0,39.0,1.9,1,1
238,9.0,7.2,3.37,0.63,14.0,38.0,1.9,1,1
239,9.0,8.2,3.32,1.0,7.0,37.0,2.3,1,1
240,9.3,8.9,3.0,0.635,5.0,62.0,1.7,1,1
241,10.9,12.0,3.14,0.38,6.0,24.0,2.1,1,1
242,9.8,7.7,3.08,0.58,28.0,109.0,1.8,1,1
243,9.2,15.0,3.07,0.21,10.0,24.0,2.2,1,2
244,9.2,15.0,3.07,0.21,10.0,24.0,2.2,1,2
245,9.9,7.3,3.61,0.66,6.0,23.0,2.0,1,1
246,9.5,7.1,3.38,0.68,16.0,51.0,1.9,1,1
247,9.3,8.2,3.2,0.6,11.0,73.0,2.3,1,1
248,9.8,7.7,3.35,0.53,9.0,39.0,1.7,1,1
249,9.9,7.3,3.61,0.66,6.0,23.0,2.0,1,1
250,10.0,10.8,3.22,0.32,16.0,37.0,1.6,1,1
251,9.9,7.1,3.47,0.6,16.0,34.0,1.8,1,1
252,10.5,11.1,3.17,0.35,5.0,21.0,3.1,1,1
253,9.5,7.7,3.23,0.775,8.0,86.0,1.9,1,1
254,9.9,7.1,3.47,0.6,16.0,34.0,1.8,1,1
255,9.3,8.0,3.26,0.57,17.0,119.0,3.2,1,1
256,9.2,9.4,3.22,0.34,5.0,13.0,2.2,1,1
257,9.2,6.6,3.49,0.695,12.0,56.0,2.1,1,1
258,9.4,7.7,3.06,0.41,8.0,45.0,1.8,1,1
259,10.5,10.0,3.36,0.31,14.0,33.0,2.6,1,2
260,9.3,7.9,3.29,0.33,18.0,45.0,1.7,1,1
261,9.4,7.0,3.35,0.975,12.0,67.0,2.0,1,0
262,10.0,8.0,3.34,0.52,10.0,35.0,1.7,1,1
263,9.3,7.9,3.28,0.37,23.0,49.0,1.8,1,1
264,10.9,12.5,3.08,0.56,5.0,27.0,2.4,1,1
265,10.2,11.8,3.2,0.26,6.0,10.0,1.8,1,2
266,9.8,8.1,3.6,0.87,26.0,61.0,3.3,1,0
267,12.8,7.9,3.35,0.35,15.0,37.0,3.6,1,2
268,9.4,6.9,3.69,0.54,7.0,27.0,3.0,1,1
269,10.1,11.5,3.28,0.18,4.0,23.0,4.0,1,1
270,10.7,7.9,3.36,0.545,27.0,61.0,4.0,1,1
271,10.1,11.5,3.28,0.18,4.0,23.0,4.0,1,1
272,10.1,10.9,3.22,0.37,17.0,65.0,4.0,1,1
273,9.4,8.4,3.31,0.715,10.0,38.0,2.4,1,1
274,9.4,7.5,3.38,0.65,27.0,94.0,7.0,1,1
275,10.7,7.9,3.36,0.545,27.0,61.0,4.0,1,1
276,9.4,6.9,3.69,0.54,7.0,27.0,3.0,1,1
277,10.1,11.5,3.28,0.18,4.0,23.0,4.0,1,1
278,12.6,10.3,3.23,0.32,5.0,13.0,6.4,1,2
279,10.5,8.9,3.38,0.4,10.0,47.0,5.6,1,2
280,9.3,11.4,3.12,0.26,6.0,19.0,3.6,1,1
281,9.9,7.7,3.25,0.27,5.0,10.0,3.5,1,2
282,9.1,7.6,3.36,0.52,12.0,53.0,3.0,1,1
283,10.5,8.9,3.38,0.4,10.0,47.0,5.6,1,2
284,9.8,9.9,3.31,0.59,32.0,71.0,3.4,1,1
285,9.8,9.9,3.31,0.59,32.0,71.0,3.4,1,1
286,10.3,12.0,3.1,0.45,25.0,49.0,2.0,1,1
287,10.3,7.5,3.37,0.4,29.0,53.0,3.0,1,1
288,10.6,8.7,3.34,0.52,20.0,49.0,2.5,1,2
289,9.2,11.6,3.2,0.42,33.0,98.0,3.3,1,1
290,10.6,8.7,3.34,0.52,20.0,49.0,2.5,1,2
291,10.5,11.0,3.3,0.2,6.0,18.0,2.0,1,1
292,10.3,10.4,3.22,0.55,18.0,48.0,2.7,1,1
293,10.1,6.9,3.41,0.36,5.0,16.0,2.4,1,1
294,9.5,13.3,3.05,0.34,17.0,53.0,3.2,1,1
295,9.5,10.8,3.05,0.5,5.0,27.0,2.5,1,1
296,9.9,10.6,3.16,0.83,26.0,70.0,2.6,1,1
297,9.6,7.1,3.67,0.63,8.0,29.0,2.0,1,1
298,9.7,7.2,3.67,0.65,5.0,31.0,2.3,1,1
299,9.6,6.9,3.68,0.67,8.0,33.0,2.1,1,1
300,10.7,7.5,3.38,0.53,20.0,44.0,2.6,1,1
301,10.1,11.1,3.22,0.18,7.0,15.0,1.5,1,1
302,10.0,8.3,3.51,0.705,12.0,28.0,2.6,1,1
303,9.5,7.4,3.39,0.67,5.0,21.0,1.6,1,1
304,9.2,8.4,3.2,0.65,12.0,90.0,2.1,1,1
305,9.3,10.3,3.12,0.53,6.0,25.0,2.5,1,1
306,9.4,7.6,3.36,0.62,7.0,54.0,2.2,1,1
307,9.5,10.3,3.19,0.41,6.0,14.0,2.4,1,1
308,9.5,10.3,3.19,0.43,5.0,12.0,2.4,1,1
309,9.5,7.4,3.41,0.29,9.0,30.0,1.7,1,1
310,9.3,10.3,3.12,0.53,6.0,25.0,2.5,1,1
311,9.4,7.9,3.27,0.53,15.0,105.0,2.0,1,1
312,9.5,9.0,3.32,0.46,19.0,98.0,2.8,1,1
313,9.4,8.6,3.3,0.47,30.0,135.0,3.0,1,1
314,11.0,7.4,3.39,0.36,26.0,72.0,2.6,1,1
315,11.0,7.1,3.42,0.35,20.0,53.0,2.5,1,1
316,10.1,9.6,3.3,0.56,37.0,92.0,3.4,1,1
317,10.4,9.6,3.3,0.77,30.0,74.0,2.9,1,1
318,11.5,9.8,3.37,0.66,21.0,59.0,3.2,1,2
319,10.4,9.6,3.3,0.77,30.0,74.0,2.9,1,1
320,11.5,9.8,3.37,0.66,21.0,59.0,3.2,1,2
321,9.7,9.3,3.24,0.61,25.0,87.0,3.4,1,1
322,9.3,7.8,3.29,0.62,6.0,18.0,2.3,1,1
323,9.5,10.3,3.28,0.59,35.0,73.0,2.8,1,1
324,9.2,10.0,3.16,0.49,13.0,50.0,11.0,1,1
325,9.2,10.0,3.16,0.49,13.0,50.0,11.0,1,1
326,11.5,11.6,3.05,0.53,6.0,14.0,3.65,1,2
327,11.5,10.3,3.28,0.44,5.0,13.0,4.5,1,1
328,9.7,13.4,3.16,0.27,6.0,21.0,2.6,1,1
329,9.5,10.7,3.18,0.46,7.0,15.0,2.0,1,1
330,12.5,10.2,3.23,0.36,10.0,41.0,2.9,1,1
331,12.5,10.2,3.23,0.36,10.0,41.0,2.9,1,1
332,9.4,8.0,3.22,0.58,21.0,114.0,3.2,1,1
333,11.0,8.4,3.13,0.56,16.0,44.0,2.1,1,1
334,11.7,7.9,3.34,0.65,17.0,38.0,2.5,1,2
335,12.2,11.9,3.17,0.695,7.0,21.0,3.4,1,2
336,12.5,8.9,3.35,0.43,6.0,16.0,1.9,1,1
337,10.3,7.8,3.31,0.43,29.0,58.0,2.8,1,1
338,11.5,12.4,3.16,0.49,28.0,99.0,3.0,1,1
339,9.8,12.5,3.11,0.28,12.0,29.0,2.3,1,2
340,9.2,12.2,3.12,0.34,10.0,21.0,2.4,1,1
341,11.3,10.6,3.21,0.42,5.0,18.0,2.7,1,1
342,9.8,10.9,3.3,0.39,6.0,14.0,1.8,1,1
343,9.8,10.9,3.3,0.39,6.0,14.0,1.8,1,1
344,10.7,11.9,3.12,0.57,6.0,32.0,2.6,1,1
345,9.9,7.0,3.6,0.685,40.0,63.0,1.9,1,1
346,12.3,6.6,3.58,0.815,17.0,34.0,2.7,1,2
347,12.0,13.8,3.02,0.49,6.0,15.0,3.0,1,1
348,10.0,9.6,3.11,0.56,15.0,46.0,2.8,1,1
349,9.4,9.1,3.36,0.785,11.0,28.0,2.6,1,1
350,9.9,10.7,3.28,0.67,17.0,34.0,2.7,1,1
351,9.4,9.1,3.35,0.795,11.0,26.0,2.6,1,1
352,9.3,7.7,3.27,0.665,8.0,19.0,2.4,1,1
353,13.0,13.5,3.18,0.53,23.0,77.0,4.8,1,1
354,11.9,6.1,3.25,0.21,40.5,165.0,1.4,1,1
355,12.8,6.7,3.55,0.75,17.0,32.0,2.4,1,1
356,11.0,11.5,3.26,0.41,29.0,55.0,3.0,1,1
357,11.7,10.5,3.24,0.42,12.0,29.0,2.95,1,2
358,10.4,11.9,3.15,0.43,10.0,23.0,3.1,1,2
359,9.8,12.6,3.17,0.38,10.0,41.0,2.6,1,1
360,9.4,8.2,3.19,0.7,14.0,81.0,2.0,1,1
361,9.9,8.6,3.37,0.45,21.0,50.0,2.6,1,1
362,10.0,11.9,3.05,0.58,6.0,37.0,2.5,1,1
363,10.2,12.5,2.99,0.46,6.0,15.0,2.0,1,1
364,10.0,12.8,3.07,0.615,7.0,42.0,5.8,1,2
365,11.8,10.0,3.26,0.42,7.0,21.0,3.4,1,1
366,10.0,12.8,3.07,0.615,7.0,42.0,5.8,1,2
367,9.0,10.4,3.16,0.575,11.0,24.0,2.6,1,1
368,9.4,10.3,3.18,0.34,15.0,75.0,2.8,1,1
369,12.0,9.4,3.2,0.27,6.0,18.0,2.4,1,2
370,9.9,6.9,3.57,0.765,35.0,63.0,2.3,1,1
371,8.7,7.9,3.32,0.24,11.0,25.0,1.6,1,1
372,10.6,9.1,3.32,0.28,26.0,46.0,1.8,1,1
373,9.2,7.4,3.05,0.55,12.0,72.0,2.2,1,1
374,10.8,14.0,3.01,0.41,6.0,47.0,3.8,1,1
375,11.8,11.5,3.01,0.54,6.0,15.0,4.4,1,2
376,11.0,11.5,3.26,0.45,19.0,47.0,3.0,1,1
377,12.0,9.4,3.2,0.27,6.0,18.0,2.4,1,2
378,13.3,11.4,3.11,0.625,6.0,24.0,6.2,1,1
379,10.8,8.3,3.31,0.42,24.0,60.0,2.5,1,1
380,9.4,8.3,3.21,0.26,11.0,27.0,2.0,1,1
381,10.0,13.7,3.06,0.415,17.0,43.0,2.9,1,1
382,9.4,8.3,3.21,0.26,11.0,27.0,2.0,1,1
383,9.4,8.3,3.21,0.26,11.0,27.0,2.0,1,1
384,9.2,7.7,3.42,0.51,23.0,54.0,2.1,1,1
385,9.7,7.4,3.43,0.63,11.0,37.0,2.4,1,1
386,9.2,7.8,3.41,0.54,23.0,48.0,2.0,1,1
387,9.6,8.3,3.31,0.66,17.0,42.0,1.9,1,1
388,9.2,7.8,3.43,0.46,23.0,53.0,1.9,1,1
389,10.0,9.6,3.19,0.38,16.0,49.0,2.5,1,2
390,12.9,5.6,3.56,0.85,12.0,88.0,1.4,1,2
391,10.0,13.7,3.06,0.415,17.0,43.0,2.9,1,1
392,9.5,9.5,3.18,0.37,6.0,26.0,2.0,1,1
393,9.1,8.4,3.16,0.665,13.0,95.0,2.0,1,1
394,9.9,12.7,3.03,0.6,6.0,25.0,2.3,1,1
395,13.0,12.0,3.22,0.37,7.0,38.0,4.2,1,2
396,9.9,6.6,3.47,0.735,68.0,124.0,7.9,1,1
397,11.0,11.5,3.18,0.59,13.0,49.0,2.6,1,1
398,11.0,11.5,3.18,0.59,13.0,49.0,2.6,1,1
399,9.4,8.7,3.1,0.765,9.0,42.0,2.3,1,1
400,9.9,6.6,3.47,0.735,68.0,124.0,7.9,1,1
401,10.8,7.7,3.29,0.26,20.0,38.0,1.7,1,1
402,10.5,12.2,3.1,0.48,19.0,64.0,2.6,1,1
403,10.5,11.4,3.15,0.6,10.0,41.0,2.7,1,1
404,9.1,7.7,3.26,0.69,15.0,27.0,2.7,1,1
405,10.1,8.7,3.36,0.31,11.0,25.0,1.4,1,1
406,10.8,9.8,3.24,0.44,9.0,28.0,2.5,1,1
407,10.8,12.0,3.18,0.39,12.0,30.0,3.0,1,2
